tweet_id,created_at,tweets,likes
1379554521823711232,2021-04-06 22:00:03,"It’s A Sin, We Are Who We Are, Euphoria, and Genera+ion are all streaming now on HBO Max.",174
1379554520330539008,2021-04-06 22:00:03,"If you could be friends with somebody from these series, who would you pick? https://t.co/UNFbMKvnfh",519
1379214807832870918,2021-04-05 23:30:09,The Fresh Prince of Bel-Air is now streaming on HBO Max.,239
1379214804951433224,2021-04-05 23:30:08,First person to tell me how many times Jazz was kicked out of the Banks’ residence wins my admiration and respect. https://t.co/1nJx1EAqrD,415
1379166582560104448,2021-04-05 20:18:31,"@WonderWomanFilm Jumping, climbing, pole vaulting, swimming, horseback riding, and that's just in the first 10 minutes 😱",107
1379162060869623809,2021-04-05 20:00:33,Stream all of Adventure Time and catch up on Adventure Time: Distant Lands today on HBO Max!,245
1379161921581121540,2021-04-05 20:00:00,Oh my glob! 11 years since the premiere of Adventure Time! https://t.co/OVfkNPC8wi,1749
1379127314395504640,2021-04-05 17:42:29,"RT @GameOfThrones: Send a raven. 
Celebrating 10 years in Westeros, the #IronAnniversary is here. https://t.co/wjcaFEfMbH",0
1379101547464900615,2021-04-05 16:00:06,Available on HBO Max in the US only at no extra cost to subscribers for a limited time.,304
1379101545715863552,2021-04-05 16:00:05,"Who has the brains, brawn, and experience? Take a look at these stats to see who will come out alive in the epic matchup of Godzilla vs. Kong, in theaters now and streaming exclusively on HBO Max. #GodzillaVsKong https://t.co/jnpNSHMvDe",2504
1378897892220399616,2021-04-05 02:30:50,@JATBMFilm @SAGawards @wbpictures @stayMACRO @Participant @BronStudios Outstanding is right!,14
1378878325003747328,2021-04-05 01:13:05,@jorddrss88 My faves 🥰,1
1378837339913457674,2021-04-04 22:30:14,"POV: You're Godzilla 😩

Training Day is now streaming on HBO Max. https://t.co/mgEK9dQ9ij",2721
1378779718489542657,2021-04-04 18:41:16,@monsinterlude @itskeyon 👀,40
1378754247915888647,2021-04-04 17:00:03,Labyrinth is streaming now on HBO Max.,315
1378754243532840961,2021-04-04 17:00:02,Who else does this? 😔 https://t.co/BW0X5E8ski,838
1378739212741140480,2021-04-04 16:00:18,Insecure is streaming on HBO Max.,164
1378739211168272389,2021-04-04 16:00:18,"Issa Dee is my hero, tbh 🔥 https://t.co/wgVSsPFUQ9",614
1378439879051239425,2021-04-03 20:10:51,@KingJames @TheSpringHillCo @spacejammovie The Goon Squad doesn’t know what’s coming,105
1378438448059662336,2021-04-03 20:05:10,"Godzilla vs. Kong is in theaters and streaming exclusively on HBO Max. Available to HBO Max subscribers in the US only at no extra cost to subscribers, for a limited time.",266
1378438446776209413,2021-04-03 20:05:10,https://t.co/NfljQnRLNu,364
1378438443399839746,2021-04-03 20:05:09,https://t.co/Wcw0mAWm4o,203
1378438428614930435,2021-04-03 20:05:06,https://t.co/gsoTOUSMzb,206
1378438407848886272,2021-04-03 20:05:01,Scroll through this thread and behold the colossal and mighty Kong! https://t.co/u2mXIFekFO,1207
1378437166775336965,2021-04-03 20:00:05,"Godzilla vs. Kong is in theaters and streaming exclusively on HBO Max. Available to HBO Max subscribers in the US only at no extra cost to subscribers, for a limited time.",379
1378437165017882629,2021-04-03 20:00:04,https://t.co/AV0DrOwwyj,494
1378437160332836869,2021-04-03 20:00:03,https://t.co/LSX9D4oKoo,388
1378437156318892036,2021-04-03 20:00:02,https://t.co/cb6ivB9ajm,430
1378437149243101184,2021-04-03 20:00:01,The legend of Godzilla cannot be contained in one Tweet. Expand this thread to see it for yourself! https://t.co/5F8KRB4ewK,2851
1378432981161832449,2021-04-03 19:43:27,@spacejammovie @Zendaya What can’t she do?!,517
1378432906834571266,2021-04-03 19:43:09,@EW @Zendaya @KingJames @spacejammovie Thought this day couldn’t get any better but… 👀,276
1378410197501140992,2021-04-03 18:12:55,@schuys_ So that’s why I keep hearing “The flashy girl from Flushing” in my dreams,294
1378406953567842309,2021-04-03 18:00:01,Search Party is now streaming on HBO Max.,147
1378406951789457411,2021-04-03 18:00:01,Live image of my friends reacting to what's left of my bracket. https://t.co/DgsbLNVCCw,249
1378403830556061696,2021-04-03 17:47:37,@SherjHamid A new generation gets to see the Jam 💥,3
1378403769705058304,2021-04-03 17:47:22,@EdwardIsSoCool *Me all day July 16,1
1378403706601803776,2021-04-03 17:47:07,@yashkamat57 I have to agree with you there,1
1378403651555713024,2021-04-03 17:46:54,"@grau1984 You, me, the Jam, July 16 😎",1
1378383071393640450,2021-04-03 16:25:07,@Roku July 16 meet me in the Serververse 💥,20
1378376830391091200,2021-04-03 16:00:20,All of these titles and more are streaming now on HBO Max!,278
1378376829061500938,2021-04-03 16:00:19,"Suit up, stream on 🔥 https://t.co/v2swwKYHB6",1412
1378336400479637504,2021-04-03 13:19:40,@spacejammovie Truly an elite team 👏,349
1378332183660691456,2021-04-03 13:02:55,"Available to stream on HBO Max in the US only, for 31 days from theatrical release, at no extra cost to subscribers.",328
1378331560525524993,2021-04-03 13:00:26,Your favorite players are back in the game 🏀 Watch LeBron James and Bugs Bunny in the new trailer for Space Jam: A New Legacy. In theaters July 16 and streaming exclusively on HBO Max at 12:01 am PT/3:01 am ET. #SpaceJamMovie https://t.co/mCnkLcrbGo,3757
1378104961997938691,2021-04-02 22:00:01,"Watch out C.C.

The Nanny is here, now streaming on HBO Max https://t.co/aBNAX0zwZC",896
1378074992148152321,2021-04-02 20:00:56,The critically acclaimed series On The Spectrum is now available to stream on HBO Max.,130
1378074990508191747,2021-04-02 20:00:55,An honest and incredibly entertaining story of three roommates navigating the world with autism. @EXminds https://t.co/WeFNuLYXsw,219
1378029480204189696,2021-04-02 17:00:05,Justice League is streaming now on HBO Max.,1811
1378029476630695937,2021-04-02 17:00:04,My support system 🙌 https://t.co/GknOsdJajl,7877
1377808244731572225,2021-04-02 02:20:58,@spacejammovie Ready for this slam dunk of a trailer!🏀,96
1377808031417737216,2021-04-02 02:20:07,"@Tweety Tweety, this is JUST the news I needed 🤩",20
1377759318913638400,2021-04-01 23:06:33,@CornerPubRon brb gonna go rewatch to see how many times this has happened to him,41
1377727562890280971,2021-04-01 21:00:22,Don’t cry because the season is ending 😢 Smile because the finale is going to be incredible 💅 genera+ion Season 1 Part 1 finale is streaming now on HBO Max. New episodes coming soon. https://t.co/x6W8OqZHzu,295
1377719099833212928,2021-04-01 20:26:44,@JamesGunn What Harley said 🤯,575
1377718734630973441,2021-04-01 20:25:17,"RT @JamesGunn: Although it's April Fool's, the only joke here is on the supervillains who agreed to work for Amanda Waller. Brand new #TheS…",0
1377682179694727168,2021-04-01 18:00:02,"Spring may have only just begun, but the titles coming to HBO Max this April are turning up the heat 🔥 https://t.co/B1MUquqgVJ",1709
1377666493492568064,2021-04-01 16:57:42,"RT @frandrescher: Today! Now! What r u waiting for??? @hbomax  #TheNanny  GO! Original cut, no commercials, BINGE WORTHY! 💋 https://t.co/Zr…",0
1377666478372126721,2021-04-01 16:57:38,@frandrescher Just exactly what the doctor prescribed 🤩,42
1377652140160782340,2021-04-01 16:00:40,Hazel’s life seemed perfect — too bad it was only programmed to appear that way. #MadeForLove is now streaming on HBO Max. https://t.co/VG0jZKKBht,327
1377636896613003264,2021-04-01 15:00:06,"Ed, Edd, n Eddy, Dexter's Laboratory, The Grim Adventures of Billy &amp; Mandy and Foster's Home for Imaginary Friends are now available to stream on HBO Max.",337
1377636895191142403,2021-04-01 15:00:05,Who's gonna win #AprilFoolsDay? https://t.co/IBjHCJsKcd,824
1377365186739236864,2021-03-31 21:00:25,All of these titles are streaming now on HBO Max.,133
1377365184545615872,2021-03-31 21:00:24,Looking for the perfect way to close out Women's History Month? How about a marathon of your favorite leading ladies? https://t.co/s6w2ioZYNs,261
1377351862668566529,2021-03-31 20:07:28,"Available to stream on HBO Max in the US only, for 31 days from theatrical release, at no extra cost to subscribers.",213
1377351795584868355,2021-03-31 20:07:12,It's about to get Looney on the court 🏀 Space Jam: A New Legacy is in theaters and streaming exclusively on HBO Max July 16. #SpaceJamMovie https://t.co/uNI44JtX9a,1224
1377319807335419909,2021-03-31 18:00:06,These titles are all streaming now on HBO Max!,174
1377319806001643529,2021-03-31 18:00:05,Trans rights are human rights. Celebrate Trans Day of Visibility with stories that educate and inspire. https://t.co/CH65AxY2I6,1396
1377304756708900867,2021-03-31 17:00:17,"Available on HBO Max in the US only at no extra cost to subscribers, for a limited time.",335
1377304754792071169,2021-03-31 17:00:17,"In the epic battle of Godzilla vs. Kong, who will come out on top? Godzilla vs. Kong is now playing in theaters and streaming exclusively on HBO Max. #GodzillaVsKong https://t.co/9z06B9Eztl",1739
1377293064268439555,2021-03-31 16:13:50,"Even the smallest towns have their dark sides. Mare of Easttown, a new limited series starring Kate Winslet, premieres April 18 on HBO Max. https://t.co/bWwqnSJavP",515
1377033645093871617,2021-03-30 23:02:59,"Want to upgrade your profile with an avatar that fits you? Choose from select HBO Max characters to update your profile, or upload a photo of yourself! https://t.co/JJYzrxRRGK",595
1376970530121641985,2021-03-30 18:52:11,"RT @InsideHBOMax: All-new kids &amp; family favorites are coming to @hbomax this April: https://t.co/jWAZE9XhId

New @sesamestreet episodes beg…",0
1376970460617793536,2021-03-30 18:51:55,@InsideHBOMax @sesamestreet What a month 😍,52
1376927392489472000,2021-03-30 16:00:47,"Available on HBO Max in the US only at no extra cost to subscribers, for 31 days from its theatrical release.",430
1376927382943244295,2021-03-30 16:00:44,"Tomorrow, two of the most powerful forces in nature will clash. Godzilla vs. Kong is in theaters March 31 and streaming exclusively on HBO Max at 12:01am PT/3:01am ET. #GodzillaVsKong https://t.co/CKnGsekXZJ",2782
1376625289506086912,2021-03-29 20:00:20,Warrior is streaming now on HBO Max.,532
1376625209835286529,2021-03-29 20:00:01,Everyone is fighting their own battle 😔 https://t.co/KqoVjWONtk,2421
1376579914057592834,2021-03-29 17:00:01,"He means business. @markwahlberg balances being an entrepreneur, actor, producer, and family man in Wahl Street, streaming April 15 on HBO Max. #WahlStreetOnMax https://t.co/wDxavMfPt2",1118
1376262819180642305,2021-03-28 20:00:00,No life is complete without a dog's love 💜 🐶 My Dog Skip is streaming now on HBO Max! https://t.co/hFZlzPNGKT,294
1376247880927821826,2021-03-28 19:00:38,"Available on HBO Max in the US only at no extra cost to subscribers, for 31 days from its theatrical release.",432
1376247878948159493,2021-03-28 19:00:38,"In three days, witness a battle that will shake the Earth. Godzilla vs. Kong is in theaters March 31 and streaming exclusively on HBO Max at 12:01am PT/3:01am ET. #GodzillaVsKong https://t.co/3TlqV2UAJN",1957
1375960830756409349,2021-03-28 00:00:00,"Get an intimate look into the life and career of Tina Turner, one of the most beloved musicians of our time in this highly anticipated documentary. Tina is streaming now on HBO Max. https://t.co/9XgX0HOmnz",761
1375899531791933442,2021-03-27 19:56:26,RT @HBODocs: Join us in celebrating the iconic Tina Turner by sharing a video or message of love with the #LoveTina hashtag. #TinaFilm prem…,0
1375870237694849025,2021-03-27 18:00:01,"Stream The Runaway Bunny, featuring a new version of @MariahCarey's Always Be My Baby, now on HBO Max. Narrated by @TraceeEllisRoss, this timeless classic also features music by @mrskimyadawson, @ZiggyMarley, @rufuswainwright and more. https://t.co/J5qMC7js2x",1343
