tweet_id,created_at,tweets,likes
1377679318826946560,2021-04-01 17:48:40,"We partnered with Prizeo to support @afspnational and to give YOU a chance to win a one-of-a-kind pair of Darkseid sneakers, designed by @theshoesurgeon, a signed Darkseid @wetaworkshop statue and ZSJL @footaction shirts. Enter now! https://t.co/GGxwvvxbGc #stopsuicide @hbomax https://t.co/KuckPbIa0x",10616
1374104044671700992,2021-03-22 21:01:48,"The official ZSJL whisperer, I bow to you my queen @Lesdoggg",60177
1373042855787204611,2021-03-19 22:45:01,"I'll be joining @manvsgame &amp; @JoeManganiello on Twitch tomorrow, and I'm bringing some #JusticeIsGray news. The show starts at 2:30 PM PDT and we'll be raising money for @afspnational. #StopSuicide #SnyderCut #UsUnited https://t.co/UxcXAWFWa8 https://t.co/eanpsrsjAB",32832
1372687390997770240,2021-03-18 23:12:31,Just a reminder @hbomax subscribers on how you can join the #SnyderCutWatchParty... starting now. https://t.co/PvDMghEQU2,35720
1372634319760486401,2021-03-18 19:41:38,"So great to have the opportunity to work with Rose, a truly amazing artist worth a listen and a follow! 

https://t.co/pBhB7bD9zU https://t.co/ygbq8LihiX",78788
1372257129067814915,2021-03-17 18:42:49,Hey @VancityReynolds maybe someday I'll bring over some Hand on Stone bourbon and we'll do a double feature. https://t.co/62wCEZZt7l,50635
1372237349610917890,2021-03-17 17:24:13,Tonight I’m joining Uche Nwaneri @chukwu77 to raise suicide prevention awareness through @afspnational. As we celebrate the #SnyderCut never forget the daily struggle of mental health for many people around the world. Show starts at 5pm PDT. #ForAutumn https://t.co/urjRczbcao,21239
1371919298780831745,2021-03-16 20:20:24,Join me on Thursday at 4pm PDT for the official ZSJL Watch Party Screening. I'll be dropping in for a bit to answer some of your questions live before the screening. RSVP at https://t.co/PvDMghEQU2,28205
1371644253802143747,2021-03-16 02:07:28,I have no words. Still waiting for info. So sorry.,44844
1371503695611850752,2021-03-15 16:48:56,"RT @WetaWorkshop: We’ve joined @ZackSnyder’s Justice League. To celebrate the release of the #SnyderCut, our sculptors have been busy bring…",0
1371491987178856450,2021-03-15 16:02:25,This is True. https://t.co/yXXItJrwnx #VEROBrandAmbassador,20100
1371187233768804355,2021-03-14 19:51:26,The Time is Now. #ForAutumn https://t.co/kmaXuJqGPv,98486
1370196848829292547,2021-03-12 02:16:00,"You’re invited to the official Red Carpet Event of #zacksnydersjusticeleague  March 17th, 8PM PST. Watch the event live on the official #SnyderCut  Facebook, Twitter or the @HBOMax and @DCComics YouTube channels. https://t.co/F6oyUn3Tij",51260
